年份,学科门类,学科专业（一级学科/专业学位类别）,A类总分,A类单科(满分=100),A类单科(满分>100),B类总分,B类单科(满分=100),B类单科(满分>100),官方URL,核对说明
2026,工学[08],其他学科专业,264,35,53,254,32,48,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,农学[09],各学科专业,240,33,50,230,30,45,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,医学[10],各学科专业,294,36,108,284,33,99,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,军事学[11],各学科专业,260,34,51,250,31,47,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,管理学[12],工商管理[1251],146,35,70,136,30,60,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,管理学[12],公共管理[1252],168,39,78,158,34,68,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,管理学[12],会计[1253]、图书情报[1255]、审计[1257],199,51,102,189,46,92,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,管理学[12],旅游管理[1254],151,35,70,141,30,60,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,管理学[12],工程管理[1256],166,39,78,156,34,68,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,管理学[12],其他学科专业,332,41,62,322,38,57,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,艺术学[13],各学科专业,354,38,57,344,35,53,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,交叉学科[14],各学科专业,266,35,53,256,32,48,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
