sch_id,name,province,department,is_double_first,has_graduate_school,is_self_line,source_url
3416382078,呼和浩特民族学院,内蒙古,内蒙古自治区,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3416382078.dhtml
3274413300,咸阳师范学院,陕西,陕西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3274413300.dhtml
677844,哈尔滨体育学院,黑龙江,黑龙江省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-677844.dhtml
368089,哈尔滨医科大学,黑龙江,黑龙江省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368089.dhtml
368078,哈尔滨商业大学,黑龙江,黑龙江省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368078.dhtml
3274412137,哈尔滨学院,黑龙江,黑龙江省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3274412137.dhtml
368077,哈尔滨师范大学,黑龙江,黑龙江省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368077.dhtml
368079,哈尔滨理工大学,黑龙江,黑龙江省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368079.dhtml
1864275487,哈尔滨音乐学院,黑龙江,黑龙江省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-1864275487.dhtml
3274440611,唐山师范学院,河北,河北省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3274440611.dhtml
367918,商务部国际贸易经济合作研究院,北京,商务部,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367918.dhtml
3416381954,商洛学院,陕西,陕西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3416381954.dhtml
368609,喀什大学,新疆,新疆维吾尔自治区,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368609.dhtml
2807891016,嘉兴大学,浙江,浙江省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-2807891016.dhtml
3416379832,嘉应学院,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3416379832.dhtml
368450,四川外国语大学,重庆,重庆市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368450.dhtml
368489,四川师范大学,四川,四川省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368489.dhtml
368459,四川省社会科学院,四川,四川省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368459.dhtml
368445,四川美术学院,重庆,重庆市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368445.dhtml
302981588,四川警察学院,四川,四川省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-302981588.dhtml
368484,四川轻化工大学,四川,四川省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368484.dhtml
368485,四川音乐学院,四川,四川省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368485.dhtml
2107934856,国家体育总局体育科学研究所,北京,国家体育总局,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-2107934856.dhtml
367943,国家海洋技术中心,天津,自然资源部,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367943.dhtml
367840,国家海洋环境预报中心,北京,自然资源部,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367840.dhtml
367847,国家老年医学中心,北京,国家卫生健康委员会,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367847.dhtml
368154,国网电力科学研究院,江苏,国家电网公司,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368154.dhtml
367819,国防大学,北京,解放军,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367819.dhtml
367871,国际关系学院,北京,教育部,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367871.dhtml
368612,塔里木大学,新疆,新疆生产建设兵团,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368612.dhtml
368514,大理大学,云南,云南省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368514.dhtml
368041,大连交通大学,辽宁,辽宁省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368041.dhtml
368046,大连医科大学,辽宁,辽宁省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368046.dhtml
368016,大连外国语大学,辽宁,辽宁省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368016.dhtml
368008,大连大学,辽宁,辽宁省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368008.dhtml
368049,大连工业大学,辽宁,辽宁省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368049.dhtml
302981182,大连民族大学,辽宁,国家民族事务委员会,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-302981182.dhtml
368042,大连海洋大学,辽宁,辽宁省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368042.dhtml
499722082,天水师范大学,甘肃,甘肃省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-499722082.dhtml
2807892153,天津中德应用技术大学,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-2807892153.dhtml
367952,天津体育学院,天津,天津市体育局,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367952.dhtml
677414,天津农学院,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-677414.dhtml
367957,天津商业大学,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367957.dhtml
367939,天津地质研究院,天津,中钢集团公司,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367939.dhtml
367937,天津城建大学,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367937.dhtml
367956,天津外国语大学,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367956.dhtml
367950,天津师范大学,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367950.dhtml
367946,天津理工大学,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367946.dhtml
367951,天津科技大学,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367951.dhtml
367936,天津美术学院,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367936.dhtml
367955,天津职业技术师范大学,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367955.dhtml
367958,天津财经大学,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367958.dhtml
367945,天津音乐学院,天津,天津市,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367945.dhtml
688908348,太原师范学院,山西,山西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-688908348.dhtml
367996,太原科技大学,山西,山西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367996.dhtml
368603,宁夏医科大学,宁夏,宁夏回族自治区,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368603.dhtml
499722211,宁夏师范大学,宁夏,宁夏回族自治区,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-499722211.dhtml
3073143814,宁夏理工学院,宁夏,宁夏回族自治区,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3073143814.dhtml
3416379530,宁德师范学院,福建,福建省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3416379530.dhtml
2807891075,宁波工程学院,浙江,浙江省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-2807891075.dhtml
677978,安庆师范大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-677978.dhtml
3416382019,安康学院,陕西,陕西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3416382019.dhtml
368245,安徽中医药大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368245.dhtml
368241,安徽农业大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368241.dhtml
368242,安徽医科大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368242.dhtml
368234,安徽工业大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368234.dhtml
368240,安徽工程大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368240.dhtml
368236,安徽师范大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368236.dhtml
678849,安徽建筑大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-678849.dhtml
368239,安徽理工大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368239.dhtml
302968759,安徽科技工程大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-302968759.dhtml
368232,安徽财经大学,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368232.dhtml
