year,school_name,school_sch_id,degree_type,major_code,major_name,total,politics,english,business1,business2,line_type,source_url
2026,清华大学,367880,专业学位,035102,法律（法学）,362,55,55,90,90,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,0452,体育,385,55,60,230,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,0454,应用心理,395,50,60,240,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,0552,新闻与传播,355,55,55,105,105,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,0851-0860,建筑/城乡规划/电子信息/机械/材料与化工/资源与环境/能源动力/土木水利/生物与医药,330,50,50,80,70,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,0862,风景园林,330,50,45,80,80,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,1051,临床医学,355,50,50,200,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,1053,公共卫生,295,40,40,180,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,1251,工商管理(MBA),146,70,35,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,1251,高级管理人员工商管理硕士(EMBA),125,125,,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,1252,公共管理(MPA),168,78,40,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,1253,会计,199,102,51,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,125601,工程管理,166,78,39,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,125603/125604,工业工程与管理/物流工程与管理,258,140,70,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,1258S1,医疗管理,332,41,41,62,62,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,1356,美术与书法,355,45,40,80,100,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,1357,设计,354,45,40,80,100,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
